match_id,season,team,playing_xi
1082591,2017,Royal Challengers Bangalore,"['CH Gayle', 'Mandeep Singh', 'TM Head', 'KM Jadhav', 'SR Watson', 'Sachin Baby', 'STR Binny', 'S Aravind', 'TS Mills', 'YS Chahal', 'A Choudhary']"
1304116,2022,Sunrisers Hyderabad,"['PK Garg', 'Abhishek Sharma', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'R Shepherd', 'J Suchith', 'B Kumar', 'Umran Malik', 'Fazalhaq Farooqi']"
1304116,2022,Punjab Kings,"['JM Bairstow', 'S Dhawan', 'M Shahrukh Khan', 'MA Agarwal', 'LS Livingstone', 'JM Sharma', 'PN Mankad', 'Harpreet Brar', 'K Rabada', 'NT Ellis', 'Arshdeep Singh']"
598007,2013,Kings XI Punjab,"['Mandeep Singh', 'AC Gilchrist', 'M Vohra', 'DJ Hussey', 'Gurkeerat Singh', 'Azhar Mahmood', 'R Sathish', 'PP Chawla', 'RJ Harris', 'P Kumar', 'P Awana']"
598007,2013,Chennai Super Kings,"['M Vijay', 'MEK Hussey', 'SK Raina', 'S Badrinath', 'MS Dhoni', 'RA Jadeja', 'DJ Bravo', 'R Ashwin', 'DP Nannes', 'CH Morris', 'AS Rajpoot']"
1216530,2020/21,Kolkata Knight Riders,"['Shubman Gill', 'N Rana', 'RA Tripathi', 'SP Narine', 'EJG Morgan', 'KD Karthik', 'AD Russell', 'PJ Cummins', 'KL Nagarkoti', 'Shivam Mavi', 'CV Varun']"
1216530,2020/21,Rajasthan Royals,"['RV Uthappa', 'BA Stokes', 'SPD Smith', 'SV Samson', 'JC Buttler', 'R Parag', 'R Tewatia', 'S Gopal', 'JC Archer', 'Kartik Tyagi', 'VR Aaron']"
1136583,2018,Sunrisers Hyderabad,"['S Dhawan', 'KS Williamson', 'WP Saha', 'MK Pandey', 'Shakib Al Hasan', 'YK Pathan', 'Mohammad Nabi', 'Rashid Khan', 'Basil Thampi', 'S Kaul', 'Sandeep Sharma']"
1136583,2018,Mumbai Indians,"['SA Yadav', 'E Lewis', 'Ishan Kishan', 'RG Sharma', 'KH Pandya', 'KA Pollard', 'HH Pandya', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah', 'Mustafizur Rahman']"
829745,2015,Royal Challengers Bangalore,"['MS Bisla', 'RR Rossouw', 'V Kohli', 'KD Karthik', 'AB de Villiers', 'SN Khan', 'D Wiese', 'HV Patel', 'MA Starc', 'Iqbal Abdulla', 'YS Chahal']"
